"lp","wojewodztwo","woj","WOJ2","powiat","pow","POW2","gmina","gmi","GMI","TERYT","miasto","lok","ubiegal","operator","odpowiedz","termininw","innaodp","data"
758,"LUBELSKIE",6,"06","kranicki",7,"07","Kranik (gmina wiejska)",5,"05","060705","Słodków Drugi",,1,1,1,0,,"2012-10-13 19:51"
759,"WARMIŃSKO-MAZURSKIE",28,28,"nidzicki",11,11,"Kozłowo (gmina wiejska)",3,"03","281103","Kozłowo",,1,2,1,0,,"2012-10-13 20:00"
760,"LUBUSKIE",8,"08","międzyrzecki",3,"03","Pszczew (gmina wiejska)",4,"04","080304","Policko",,1,3,1,0,,"2012-10-13 20:43"
761,"MAZOWIECKIE",14,14,"wyszkowski",35,35,"Długosiodło (gmina wiejska)",2,"02","143502","Stare Bosewo","Letnia 4",1,2,1,0,,"2012-10-13 21:06"
762,"KUJAWSKO-POMORSKIE",4,"04","Bydgoszcz",61,61,"Bydgoszcz (gmina miejska)",1,"01","046101","Bydgoszcz","Sucha",1,10,1,0,,"2012-10-13 21:09"
763,"WARMIŃSKO-MAZURSKIE",28,28,"olsztyński",14,14,"Purda (gmina wiejska)",10,10,"281410","Wygoda",,1,5,1,0,,"2012-10-13 21:15"
764,"MAZOWIECKIE",14,14,"piaseczyński",18,18,"Lesznowola (gmina wiejska)",3,"03","141803","Mysiadło","Różana",1,4,2,3,,"2012-10-13 21:25"
765,"LUBUSKIE",8,"08","międzyrzecki",3,"03","Pszczew (gmina wiejska)",4,"04","080304","PSZCZEW","ZAMKOWA",1,2,1,0,,"2012-10-13 22:08"
766,"WIĘTOKRZYSKIE",26,26,"buski",1,"01","Nowy Korczyn (gmina wiejska)",3,"03","260103","Brzostków",,1,2,3,0,"Prace dot. budowy infrastruktury telekomunikacyjnej zostały rozpoczęte 2 lata temu - przed wyborami, a następnie (po wyborach) wstrzymane. ","2012-10-13 22:31"
767,"WIELKOPOLSKIE",30,30,"Poznań",64,64,"Poznań (gmina miejska)",1,"01","306401","poznan","poplinskich",1,1,2,2,,"2012-10-13 22:38"
768,"MAŁOPOLSKIE",12,12,"tarnowski",16,16,"Skrzyszów (gmina wiejska)",8,"08","121608","Skrzyszów",,1,2,1,0,,"2012-10-13 22:39"
769,"PODLASKIE",20,20,"łomżyński",7,"07","Przytuły (gmina wiejska)",6,"06","200706","Bagienice",,1,5,1,0,,"2012-10-13 22:50"
770,"MAŁOPOLSKIE",12,12,"mylenicki",9,"09","Mylenice (gmina miejsko-wiejska)",3,"03","120903","trzemenia",,1,5,1,0,,"2012-10-13 23:03"
771,"PODLASKIE",20,20,"hajnowski",5,"05","Białowieża (gmina wiejska)",2,"02","200502","Czerlonka",,1,6,1,0,,"2012-10-13 23:23"
772,"LUBELSKIE",6,"06","zamojski",20,20,"Zwierzyniec (gmina miejsko-wiejska)",15,15,"062015","Sochy",,1,1,2,4,,"2012-10-13 23:39"
773,"PODKARPACKIE",18,18,"mielecki",11,11,"Radomyl Wielki (gmina miejsko-wiejska)",8,"08","181108","Radomyl Wielki",,2,0,0,0,,"2012-10-13 23:43"
774,"MAŁOPOLSKIE",12,12,"tarnowski",16,16,"Zakliczyn (gmina miejsko-wiejska)",14,14,"121614","Słona",,1,4,1,0,,"2012-10-13 23:55"
775,"WARMIŃSKO-MAZURSKIE",28,28,"olsztyński",14,14,"Stawiguda (gmina wiejska)",11,11,"281411","Stawiguda","Perłowa",1,1,3,0,"Obecne możliwoci mojego przyłšcza to ok. 7-8 Mb i jest to podyktowane technologiš (kabel miedziany). Sam pracuję w branży budowlanej telekomunikacyjnej i oczekuję budowy sieci abonenckiej wiatłowodowej w architekturze FTTH na moim osiedlu","2012-10-14 01:53"
776,"DOLNOLĽSKIE",2,"02","redzki",18,18,"Kostomłoty (gmina wiejska)",1,"01","021801","Lisowice","Różana 4",1,2,3,0,"brak wolnych portów na nowym osiedlu ","2012-10-14 10:23"
777,"LUBELSKIE",6,"06","biłgorajski",2,"02","Biszcza (gmina wiejska)",4,"04","060204","Wola Kulońska",,2,0,0,0,,"2012-10-14 10:54"
778,"WIELKOPOLSKIE",30,30,"rawicki",22,22,"Rawicz (gmina miejsko-wiejska)",5,"05","302205","Łaszczyn",,1,1,1,0,,"2012-10-14 11:21"
779,"POMORSKIE",22,22,"słupski",12,12,"Słupsk (gmina wiejska)",8,"08","221208","Gałęzinowo",,1,1,1,0,,"2012-10-14 11:40"
780,"MAŁOPOLSKIE",12,12,"krakowski",6,"06","Zielonki (gmina wiejska)",17,17,"120617","Bosutów",,1,2,1,0,,"2012-10-14 12:05"
781,"MAZOWIECKIE",14,14,"płoński",20,20,"Czerwińsk nad Wisłš (gmina wiejska)",4,"04","142004","Goławin",,1,3,1,0,,"2012-10-14 12:31"
782,"MAZOWIECKIE",14,14,"płoński",20,20,"Czerwińsk nad Wisłš (gmina wiejska)",4,"04","142004","Goławin",,1,3,1,0,,"2012-10-14 12:32"
783,"MAZOWIECKIE",14,14,"płoński",20,20,"Czerwińsk nad Wisłš (gmina wiejska)",4,"04","142004","Nowe Przybojewo",,1,2,1,0,,"2012-10-14 12:34"
784,"MAZOWIECKIE",14,14,"płoński",20,20,"Czerwińsk nad Wisłš (gmina wiejska)",4,"04","142004","Goławin",,1,4,1,0,,"2012-10-14 12:36"
785,"MAŁOPOLSKIE",12,12,"krakowski",6,"06","Sułoszowa (gmina wiejska)",13,13,"120613","sułoszowa",,1,1,1,0,,"2012-10-14 13:44"
786,"MAŁOPOLSKIE",12,12,"nowotarski",11,11,"Nowy Targ (gmina wiejska)",9,"09","121109","nowy targ","ustronie",1,2,1,0,,"2012-10-14 13:47"
787,"MAŁOPOLSKIE",12,12,"nowotarski",11,11,"Nowy Targ (gmina miejska)",1,"01","121101","NOWY TARG","USTRONIE",1,3,1,0,,"2012-10-14 13:50"
788,"LUBELSKIE",6,"06","krasnostawski",6,"06","Krasnystaw (gmina miejska)",1,"01","060601","Krasnystaw","Okrzei 30",1,2,1,0,,"2012-10-14 16:29"
789,"KUJAWSKO-POMORSKIE",4,"04","chełmiński",4,"04","Unisław (gmina wiejska)",7,"07","040407","Unisław","Osiedlowa",1,3,1,0,,"2012-10-14 17:04"
790,"KUJAWSKO-POMORSKIE",4,"04","chełmiński",4,"04","Unisław (gmina wiejska)",7,"07","040407","Unisław","Lipowa",2,0,0,0,,"2012-10-14 17:47"
791,"MAZOWIECKIE",14,14,"pruszkowski",21,21,"Brwinów (gmina miejsko-wiejska)",3,"03","142103","Owczarnia","Kingi",1,1,2,4,,"2012-10-14 19:00"
792,"MAZOWIECKIE",14,14,"garwoliński",3,"03","Sobolew (gmina wiejska)",11,11,"140311","Gończyce",,1,1,1,0,,"2012-10-14 19:34"
793,"MAŁOPOLSKIE",12,12,"tarnowski",16,16,"Skrzyszów (gmina wiejska)",8,"08","121608","Szynwałd",,2,0,0,0,,"2012-10-14 20:13"
794,"MAZOWIECKIE",14,14,"ostrołęcki",15,15,"Baranowo (gmina wiejska)",1,"01","141501","Zawady",,1,3,1,0,,"2012-10-14 20:36"
795,"MAZOWIECKIE",14,14,"ostrołęcki",15,15,"Baranowo (gmina wiejska)",1,"01","141501","Brodowe Łški",,1,4,1,0,,"2012-10-14 20:38"
796,"KUJAWSKO-POMORSKIE",4,"04","nakielski",10,10,"Kcynia (gmina miejsko-wiejska)",1,"01","041001","Sipiory",,1,6,1,0,,"2012-10-14 20:51"
797,"WARMIŃSKO-MAZURSKIE",28,28,"piski",16,16,"Pisz (gmina miejsko-wiejska)",3,"03","281603","Szczechy Wielkie",,1,3,1,0,,"2012-10-14 20:58"
798,"WIĘTOKRZYSKIE",26,26,"konecki",5,"05","Końskie (gmina miejsko-wiejska)",3,"03","260503","rogów","graniczna",1,3,1,0,,"2012-10-14 21:04"
799,"MAŁOPOLSKIE",12,12,"Tarnów",63,63,"Tarnów (gmina miejska)",1,"01","126301","Olszowa",,1,6,1,0,,"2012-10-14 21:18"
800,"LUBELSKIE",6,"06","chełmski",3,"03","Ruda-Huta (gmina wiejska)",9,"09","060309","Rudka",,1,2,1,0,,"2012-10-14 21:56"
801,"MAŁOPOLSKIE",12,12,"tarnowski",16,16,"Skrzyszów (gmina wiejska)",8,"08","121608","Skrzyszów",,1,1,1,0,,"2012-10-15 07:13"
802,"MAŁOPOLSKIE",12,12,"tarnowski",16,16,"Skrzyszów (gmina wiejska)",8,"08","121608","Pogórska Wola",,2,0,0,0,,"2012-10-15 07:44"
803,"LUBELSKIE",6,"06","hrubieszowski",4,"04","Werbkowice (gmina wiejska)",8,"08","060408","Werbkowice","Pogodna",1,2,1,0,,"2012-10-15 08:05"
804,"ZACHODNIOPOMORSKIE",32,32,"koszaliński",9,"09","wieszyno (gmina wiejska)",8,"08","320908","NIEDALINO",,1,4,1,0,,"2012-10-15 08:12"
805,"LUBELSKIE",6,"06","rycki",16,16,"Ułęż (gmina wiejska)",6,"06","061606","Lendo Ruskie",,1,4,1,0,,"2012-10-15 08:29"
806,"LUBELSKIE",6,"06","chełmski",3,"03","Ruda-Huta (gmina wiejska)",9,"09","060309","Poczekajka",,1,1,1,0,,"2012-10-15 08:33"
807,"LUBELSKIE",6,"06","rycki",16,16,"Ułęż (gmina wiejska)",6,"06","061606","Podlodówka",,2,0,0,0,,"2012-10-15 08:37"
808,"LUBELSKIE",6,"06","rycki",16,16,"Ułęż (gmina wiejska)",6,"06","061606","Podlodów",,2,0,0,0,,"2012-10-15 08:37"
809,"MAŁOPOLSKIE",12,12,"tarnowski",16,16,"Skrzyszów (gmina wiejska)",8,"08","121608","Pogórska Wola",,1,4,1,0,,"2012-10-15 08:59"
810,"MAŁOPOLSKIE",12,12,"tarnowski",16,16,"Skrzyszów (gmina wiejska)",8,"08","121608","Pogóska Wola",,1,1,1,0,,"2012-10-15 09:01"
811,"WARMIŃSKO-MAZURSKIE",28,28,"olsztyński",14,14,"Gietrzwałd (gmina wiejska)",5,"05","281405","Guzowy Piec",,1,2,1,0,,"2012-10-15 09:36"
812,"LUBELSKIE",6,"06","bialski",1,"01","Terespol (gmina miejska)",2,"02","060102","Terespol","Czerwonego Krzyża 26",2,0,0,0,,"2012-10-15 10:14"
813,"MAŁOPOLSKIE",12,12,"nowosšdecki",10,10,"Krynica-Zdrój (gmina miejsko-wiejska)",7,"07","121007","krynica  zdrój","kraszewskiego 153",1,10,3,0,"Brak internetu  bezprzewodowego LTE  odpowiedzi  nie  otrzymałem  żadnej  z polsatucyfrowego","2012-10-15 10:17"
814,"KUJAWSKO-POMORSKIE",4,"04","nakielski",10,10,"Kcynia (gmina miejsko-wiejska)",1,"01","041001","Sipiory",,1,6,1,0,,"2012-10-15 10:24"
815,"LUBELSKIE",6,"06","opolski",12,12,"Łaziska (gmina wiejska)",4,"04","061204","Łaziska",,1,1,0,0,"Internet zostanie podłšczony.","2012-10-15 10:30"
816,"MAŁOPOLSKIE",12,12,"bocheński",1,"01","Trzciana (gmina wiejska)",8,"08","120108","Kamionna, Leszczyna, Łškta Dolna",,1,1,1,0,,"2012-10-15 10:39"
817,"KUJAWSKO-POMORSKIE",4,"04","chełmiński",4,"04","Unisław (gmina wiejska)",7,"07","040407","Unisław","Chełmińska",2,0,0,0,,"2012-10-15 10:40"
818,"ZACHODNIOPOMORSKIE",32,32,"policki",11,11,"Dobra (Szczecińska) (gmina wiejska)",1,"01","321101","Dobra Szczecińska",,1,4,1,0,,"2012-10-15 10:44"
819,"OPOLSKIE",16,16,"nyski",7,"07","Skoroszyce (gmina wiejska)",9,"09","160709","Sidzina",,1,2,1,0,,"2012-10-15 10:46"
820,"MAZOWIECKIE",14,14,"Warszawa",65,65,"Warszawa (gmina miejska, miasto stołeczne)",1,"01","146501","Warszawa","Przygodna 14A",1,1,1,0,,"2012-10-15 10:52"
821,"KUJAWSKO-POMORSKIE",4,"04","żniński",19,19,"Barcin (gmina miejsko-wiejska)",1,"01","041901","MAMLICZ 110",,1,3,3,0,,"2012-10-15 10:54"
822,"MAŁOPOLSKIE",12,12,"krakowski",6,"06","wištniki Górne (gmina miejsko-wiejska)",14,14,"120614","Wrzšsowice","nr domu 601 ",1,1,1,0,,"2012-10-15 11:04"
823,"LUBELSKIE",6,"06","łukowski",11,11,"Krzywda (gmina wiejska)",4,"04","061104","Zimna Woda",,1,3,1,0,,"2012-10-15 11:27"
824,"MAŁOPOLSKIE",12,12,"tarnowski",16,16,"Skrzyszów (gmina wiejska)",8,"08","121608","Pogórska Wola",,1,1,1,0,,"2012-10-15 11:32"
825,"ZACHODNIOPOMORSKIE",32,32,"kołobrzeski",8,"08","Rymań (gmina wiejska)",5,"05","320805","Dębica",,1,2,2,4,,"2012-10-15 11:51"
826,"LUBELSKIE",6,"06","chełmski",3,"03","Sawin (gmina wiejska)",10,10,"060310","Łowcza-Kolonia",,1,1,1,0,,"2012-10-15 12:01"
827,"WARMIŃSKO-MAZURSKIE",28,28,"olsztyński",14,14,"Purda (gmina wiejska)",10,10,"281410","Purdka",,1,1,1,0,,"2012-10-15 12:07"
828,"WARMIŃSKO-MAZURSKIE",28,28,"olsztyński",14,14,"Stawiguda (gmina wiejska)",11,11,"281411","Bartšg","Miła",1,1,1,0,,"2012-10-15 12:10"
829,"MAŁOPOLSKIE",12,12,"krakowski",6,"06","Kocmyrzów-Luborzyca (gmina wiejska)",5,"05","120605","GŁĘBOKA",,1,1,1,0,,"2012-10-15 12:26"
830,"LUBUSKIE",8,"08","słubicki",5,"05","Słubice (gmina miejsko-wiejska)",5,"05","080505","Drzecin","nr 1,2,2b,3",1,2,2,3,,"2012-10-15 12:56"
831,"LUBUSKIE",8,"08","słubicki",5,"05","Słubice (gmina miejsko-wiejska)",5,"05","080505","Drzecin","nr 1,2,2b,3",1,2,2,3,,"2012-10-15 12:57"
832,"LUBELSKIE",6,"06","hrubieszowski",4,"04","Uchanie (gmina wiejska)",7,"07","060407","Chyżowice",,1,1,3,0,"Inwestycja nie nastšpi ponieważ jest nierentowna","2012-10-15 13:30"
833,"WARMIŃSKO-MAZURSKIE",28,28,"szczycieński",17,17,"więtajno (gmina wiejska)",7,"07","281707","Cis",9,1,3,3,0,"nie mozna zalozyc neostrady bo nie ma mozliwosci technicznych a jestem niedaleko od puchy tp prosze to naprawic albo zglosze to do sadu!!!!!!","2012-10-15 13:51"
834,"WARMIŃSKO-MAZURSKIE",28,28,"szczycieński",17,17,"więtajno (gmina wiejska)",7,"07","281707","Jerutki",,1,10,1,0,,"2012-10-15 13:52"
835,"WARMIŃSKO-MAZURSKIE",28,28,"szczycieński",17,17,"więtajno (gmina wiejska)",7,"07","281707","Cis",,1,10,1,0,,"2012-10-15 13:53"
836,"WARMIŃSKO-MAZURSKIE",28,28,"szczycieński",17,17,"więtajno (gmina wiejska)",7,"07","281707","Cis",,1,10,0,0,,"2012-10-15 13:53"
837,"WARMIŃSKO-MAZURSKIE",28,28,"szczycieński",17,17,"więtajno (gmina wiejska)",7,"07","281707","Jerutki",,1,1,0,0,,"2012-10-15 13:54"
838,"WARMIŃSKO-MAZURSKIE",28,28,"szczycieński",17,17,"więtajno (gmina wiejska)",7,"07","281707","Cis",,1,1,1,0,,"2012-10-15 13:54"
839,"MAZOWIECKIE",14,14,"otwocki",17,17,"Józefów (gmina miejska)",1,"01","141701","Józefów","Dworkowa",1,4,1,0,,"2012-10-15 14:02"
840,"LUBELSKIE",6,"06","zamojski",20,20,"Zwierzyniec (gmina miejsko-wiejska)",15,15,"062015","Zwierzyniec","Biłgorajska",1,2,2,3,,"2012-10-15 14:02"
841,"MAZOWIECKIE",14,14,"otwocki",17,17,"Józefów (gmina miejska)",1,"01","141701","Józefów","Dworkowa 2 (dawna Rolnicza)",1,6,1,0,,"2012-10-15 14:07"
842,"MAZOWIECKIE",14,14,"otwocki",17,17,"Józefów (gmina miejska)",1,"01","141701","Józefów","Dworkowa 4 (dawna Rolnicza)",1,4,1,0,,"2012-10-15 14:08"
843,"MAZOWIECKIE",14,14,"otwocki",17,17,"Józefów (gmina miejska)",1,"01","141701","Józefów","Dworkowa 6 (dawna Rolnicza)",1,5,1,0,,"2012-10-15 14:10"
844,"MAZOWIECKIE",14,14,"otwocki",17,17,"Józefów (gmina miejska)",1,"01","141701","Józefów","Dworkowa 8 (dawna Rolnicza)",1,5,1,0,,"2012-10-15 14:12"
845,"MAZOWIECKIE",14,14,"otwocki",17,17,"Józefów (gmina miejska)",1,"01","141701","Józefów","Dworkowa 10 (dawna Rolnicza)",1,5,1,0,,"2012-10-15 14:13"
846,"MAZOWIECKIE",14,14,"otwocki",17,17,"Józefów (gmina miejska)",1,"01","141701","Józefów","Dworkowa 12 (dawna Rolnicza)",1,3,1,0,,"2012-10-15 14:15"
847,"WIELKOPOLSKIE",30,30,"złotowski",31,31,"Jastrowie (gmina miejsko-wiejska)",2,"02","303102","Samborsko",,1,1,2,3,,"2012-10-15 14:25"
848,"PODKARPACKIE",18,18,"brzozowski",2,"02","Nozdrzec (gmina wiejska)",6,"06","180206","Izdebki",,2,0,0,0,,"2012-10-15 14:33"
849,"MAŁOPOLSKIE",12,12,"dšbrowski",4,"04","Szczucin (gmina miejsko-wiejska)",7,"07","120407","Słupiec",,1,1,2,4,,"2012-10-15 14:41"
850,"MAŁOPOLSKIE",12,12,"dšbrowski",4,"04","Olesno (gmina wiejska)",5,"05","120405","Olesno",,1,1,1,0,,"2012-10-15 14:44"
851,"ŁÓDZKIE",10,10,"pabianicki",8,"08","Dłutów (gmina wiejska)",3,"03","100803","Drzewociny",,1,3,1,0,,"2012-10-15 14:48"
852,"MAŁOPOLSKIE",12,12,"krakowski",6,"06","Mogilany (gmina wiejska)",9,"09","120609","Gaj","Zadziele",1,4,1,0,,"2012-10-15 14:52"
853,"MAŁOPOLSKIE",12,12,"nowotarski",11,11,"Nowy Targ (gmina miejska)",1,"01","121101","Nowy Targ","Os. Bór",1,5,1,0,,"2012-10-15 14:55"
854,"LUBUSKIE",8,"08","kronieński",2,"02","Dšbie (gmina wiejska)",4,"04","080204","Pław","Plac Kasztanowy",1,1,1,0,,"2012-10-15 15:10"
855,"MAŁOPOLSKIE",12,12,"krakowski",6,"06","Liszki (gmina wiejska)",7,"07","120607","Piekary",,1,1,3,0,"Nieopłacalnoć inwestycji - docišgniecie kabla na odległoć 100 metrów.","2012-10-15 16:05"
856,"MAŁOPOLSKIE",12,12,"nowotarski",11,11,"Spytkowice (gmina wiejska)",13,13,"121113","Spytkowice",,1,3,1,0,,"2012-10-15 16:34"
857,"MAŁOPOLSKIE",12,12,"nowotarski",11,11,"Spytkowice (gmina wiejska)",13,13,"121113","Spytkowice",,1,2,1,0,,"2012-10-15 16:35"
858,"MAŁOPOLSKIE",12,12,"gorlicki",5,"05","Ucie Gorlickie (gmina wiejska)",10,10,"120510","Hańczowa",,2,0,0,0,,"2012-10-15 17:03"
859,"WIELKOPOLSKIE",30,30,"Poznań",64,64,"Poznań (gmina miejska)",1,"01","306401","Poznań","Rogozińska",1,1,3,0,"Możliwy jest dostęp do internetu, jednakże tylko do 10MB","2012-10-15 17:43"
860,"MAZOWIECKIE",14,14,"otwocki",17,17,"Wišzowna (gmina wiejska)",8,"08","141708","Pęclin",,1,3,1,0,,"2012-10-15 17:45"
861,"MAZOWIECKIE",14,14,"otwocki",17,17,"Wišzowna (gmina wiejska)",8,"08","141708","Pęclin",,1,3,1,0,,"2012-10-15 17:46"
862,"LUBUSKIE",8,"08","gorzowski",1,"01","Deszczno (gmina wiejska)",3,"03","080103","Kiełpin",,1,3,1,0,,"2012-10-15 18:57"
863,"MAŁOPOLSKIE",12,12,"Tarnów",63,63,"Tarnów (gmina miejska)",1,"01","126301","wola rzędzińska",,1,2,1,0,,"2012-10-15 19:30"
864,"KUJAWSKO-POMORSKIE",4,"04","chełmiński",4,"04","Lisewo (gmina wiejska)",4,"04","040404","Krajęcin 24",,2,0,0,0,,"2012-10-15 19:48"
865,"MAŁOPOLSKIE",12,12,"bocheński",1,"01","Lipnica Murowana (gmina wiejska)",4,"04","120104","Lipnica Górna  ",,1,1,1,0,,"2012-10-15 20:12"
866,"MAŁOPOLSKIE",12,12,"bocheński",1,"01","Lipnica Murowana (gmina wiejska)",4,"04","120104","Lipnica Górna 251",,1,1,1,0,,"2012-10-15 20:16"
867,"KUJAWSKO-POMORSKIE",4,"04","chełmiński",4,"04","Unisław (gmina wiejska)",7,"07","040407","Unisław",,1,3,2,3,,"2012-10-15 20:22"
868,"MAZOWIECKIE",14,14,"miński",12,12,"Mińsk Mazowiecki (gmina miejska)",1,"01","141201","Stojadła","Ogrodowa",1,2,3,0,"Odpowied Orange (TP): brak możliwoci technicznych, firma zew., pracujšca dla operatora twierdzi, że wystarczy doprowadzić 220 m przewodu do budynku.

Odpowied Netii: Zamówienie nr 1112500 zmieniło stan na Zamknięte na Nie.","2012-10-15 21:08"
869,"LUBELSKIE",6,"06","radzyński",15,15,"Radzyń Podlaski (gmina miejska)",1,"01","061501","Białka 91",,1,1,1,0,,"2012-10-15 21:18"
870,"MAZOWIECKIE",14,14,"wołomiński",34,34,"Radzymin (gmina miejsko-wiejska)",9,"09","143409","Nadma","Malinowa",1,2,1,0,,"2012-10-15 21:39"
871,"MAŁOPOLSKIE",12,12,"tatrzański",17,17,"Kocielisko (gmina wiejska)",4,"04","121704","Kocielisko","Rysuówka",1,3,3,0,"póniej.... Brak precyzyjnego okrelenie kiedy...","2012-10-15 23:47"
872,"MAŁOPOLSKIE",12,12,"dšbrowski",4,"04","Bolesław (gmina wiejska)",1,"01","120401","Kanna",,1,3,3,0,"wiatłowody przechodzš przez mojš posesję - przerwana inwestycja tpsa. Po kablu można dostać jakš marnš prędkoć pod wielkim znakiem zapytania jej działania. ","2012-10-16 00:11"
873,"PODLASKIE",20,20,"Suwałki",63,63,"Suwałki (gmina miejska)",1,"01","206301","huta","huta 1a,1,2,3",1,5,1,0,,"2012-10-16 05:29"
874,"WARMIŃSKO-MAZURSKIE",28,28,"olsztyński",14,14,"Purda (gmina wiejska)",10,10,"281410","Przykop 15 B",,1,1,3,0,"na obecny czas brak planu inwestycyjnego","2012-10-16 06:38"
875,"ZACHODNIOPOMORSKIE",32,32,"policki",11,11,"Dobra (Szczecińska) (gmina wiejska)",1,"01","321101","Wołczkowo","Malinowa",2,0,0,0,,"2012-10-16 08:11"
876,"PODLASKIE",20,20,"grajewski",4,"04","Grajewo (gmina miejska)",1,"01","200401","Grajewo",,2,0,0,0,,"2012-10-16 08:14"
877,"ZACHODNIOPOMORSKIE",32,32,"policki",11,11,"Dobra (Szczecińska) (gmina wiejska)",1,"01","321101","Dobra","Zielona Górka",1,1,2,3,,"2012-10-16 08:32"
878,"LUBELSKIE",6,"06","lubelski",9,"09","Niedrzwica Duża (gmina wiejska)",10,10,"060910","Trojaczkowice",,2,0,0,0,,"2012-10-16 09:06"
879,"ZACHODNIOPOMORSKIE",32,32,"policki",11,11,"Dobra (Szczecińska) (gmina wiejska)",1,"01","321101","Wołczkowo","Malinowa",2,0,0,0,,"2012-10-16 09:21"
880,"ZACHODNIOPOMORSKIE",32,32,"policki",11,11,"Dobra (Szczecińska) (gmina wiejska)",1,"01","321101","Wołczkowo","Malinowa",2,0,0,0,,"2012-10-16 09:22"
881,"ŁÓDZKIE",10,10,"wieluński",17,17,"Pštnów (gmina wiejska)",7,"07","101707","Dzietrzniki",,2,0,0,0,,"2012-10-16 09:34"
882,"ZACHODNIOPOMORSKIE",32,32,"policki",11,11,"Dobra (Szczecińska) (gmina wiejska)",1,"01","321101","Wołczkowo","Malinowa",2,0,0,0,,"2012-10-16 09:34"
883,"ZACHODNIOPOMORSKIE",32,32,"policki",11,11,"Dobra (Szczecińska) (gmina wiejska)",1,"01","321101","Wołczkowo","Malinowa",2,0,0,0,,"2012-10-16 09:56"
884,"LUBELSKIE",6,"06","Chełm",62,62,"Chełm (gmina miejska)",1,"01","066201","chełm","staszica",1,5,3,0,"np. Telekomunikacja kolejowa ma wiatłowód w tej lokalizacji ale dla 10 czy 15 domów nie opłaca im się podłšczać","2012-10-16 10:12"
885,"MAZOWIECKIE",14,14,"Warszawa",65,65,"Warszawa (gmina miejska, miasto stołeczne)",1,"01","146501","Warszawa Białołęka ","Dziwna ",1,1,1,0,,"2012-10-16 10:26"
886,"ZACHODNIOPOMORSKIE",32,32,"policki",11,11,"Dobra (Szczecińska) (gmina wiejska)",1,"01","321101","Wołczkowo","Malinowa",2,0,0,0,,"2012-10-16 10:32"
887,"KUJAWSKO-POMORSKIE",4,"04","brodnicki",2,"02","wiedziebnia (gmina wiejska)",9,"09","040209","okalewko",,1,1,1,0,,"2012-10-16 10:55"
888,"LUBELSKIE",6,"06","hrubieszowski",4,"04","Hrubieszów (gmina wiejska)",4,"04","060404","Cichobórz",,2,0,0,0,,"2012-10-16 10:58"
889,"PODKARPACKIE",18,18,"lubaczowski",9,"09","Narol (gmina miejsko-wiejska)",5,"05","180905","Narol","Sobieskiego",2,0,0,0,,"2012-10-16 11:06"
890,"PODLASKIE",20,20,"hajnowski",5,"05","Hajnówka (gmina miejska)",1,"01","200501","hajnówka",,2,0,0,0,,"2012-10-16 11:10"
891,"MAŁOPOLSKIE",12,12,"Kraków",61,61,"Kraków (gmina miejska)",1,"01","126101","Kraków","Talowskiego",1,2,3,0,"jest ADSL, ale tylko 1Mb/s","2012-10-16 11:11"
895,"WARMIŃSKO-MAZURSKIE",28,28,"olsztyński",14,14,"Purda (gmina wiejska)",10,10,"281410","Nowa Wie",,1,2,1,0,,"2012-10-16 12:02"
896,"MAŁOPOLSKIE",12,12,"chrzanowski",3,"03","Trzebinia (gmina miejsko-wiejska)",5,"05","120305","Czyżówka",,1,1,2,4,,"2012-10-16 12:06"
897,"MAZOWIECKIE",14,14,"piaseczyński",18,18,"Tarczyn (gmina miejsko-wiejska)",6,"06","141806","Marylka","Akacjowa",1,2,1,0,,"2012-10-16 12:28"
898,"PODLASKIE",20,20,"sokólski",11,11,"Szudziałowo (gmina wiejska)",10,10,"201110","Cała Gmina za wyjštkiem Szudziałowa",,1,5,1,0,,"2012-10-16 12:32"
899,"KUJAWSKO-POMORSKIE",4,"04","włocławski",18,18,"Boniewo (gmina wiejska)",3,"03","041803","OSIECZ MAŁY","OSIECZ MAŁY",1,3,1,0,,"2012-10-16 12:48"
900,"KUJAWSKO-POMORSKIE",4,"04","nakielski",10,10,"Szubin (gmina miejsko-wiejska)",5,"05","041005","RYNARZEWO","LESZCZYNOWA",1,3,1,0,,"2012-10-16 12:52"
901,"MAŁOPOLSKIE",12,12,"krakowski",6,"06","Czernichów (gmina wiejska)",1,"01","120601","Nowa Wie Szlachcecka",,1,5,3,0,"brak warunkow w praktyce, tylko w reklamach byly warunki","2012-10-16 13:09"
902,"PODKARPACKIE",18,18,"przeworski",14,14,"Kańczuga (gmina miejsko-wiejska)",5,"05","181405","KAŃCZUGA",,2,0,0,0,,"2012-10-16 13:09"
903,"MAŁOPOLSKIE",12,12,"krakowski",6,"06","Czernichów (gmina wiejska)",1,"01","120601","Nowa Wie Szlachecka",,1,2,1,0,,"2012-10-16 13:10"
904,"PODKARPACKIE",18,18,"Krosno",61,61,"Krosno (gmina miejska)",1,"01","186101","KROSNO",,1,3,2,2,,"2012-10-16 13:12"
905,"PODLASKIE",20,20,"sokólski",11,11,"Sidra (gmina wiejska)",7,"07","201107","Sidra",,2,0,0,0,,"2012-10-16 13:15"
906,"MAŁOPOLSKIE",12,12,"chrzanowski",3,"03","Trzebinia (gmina miejsko-wiejska)",5,"05","120305","Trzebinia","całe miasto",1,4,2,4,,"2012-10-16 13:46"
907,"PODKARPACKIE",18,18,"ropczycko-sędziszowski",15,15,"Ostrów (gmina wiejska)",2,"02","181502","Ocieka",,1,2,1,0,,"2012-10-16 13:59"
