"nazwa główna","szerokość geograficzna","długość geograficzna","identyfikator jednostki podziału terytorialnego kraju"
"Butorówka","49°26'50''","19°10'14''","2417142"
"Butory","49°37'03''","20°10'44''","1207092"
"Butory","49°48'39''","19°23'50''","1218015"
"Butorza","49°30'52''","19°01'03''","2417112"
"Butorzy","49°30'35''","19°06'52''","2417112"
"Butowo","53°35'56''","19°08'55''","2807045"
"Butrymowce","53°37'16''","23°27'41''","2011062"
"Butryny","53°36'21''","20°34'53''","2814102"
"Kolonia Butryny","53°36'55''","20°34'10''","2814102"
"Buwełno","53°52'16''","21°51'47''","2816025"
"Buza","51°15'16''","23°13'59''","0603122"
"Buzdygówka","49°36'43''","20°01'51''","1207092"
"Buzoń","49°55'28''","19°04'54''","2402022"
"Buzowice","50°05'04''","18°27'07''","2473011"
"Buzy","53°05'06''","19°27'29''","0412042"
"Bużka","52°21'29''","22°53'58''","1410052"
"Bużyska","52°23'12''","22°38'28''","1426022"
"Bużyski","52°29'14''","22°31'22''","2010025"
"Bychawa","51°00'52''","22°32'05''","0609034"
"Kolonia Bychawczyńska","51°05'03''","22°34'03''","0609062"
"Bychawka Druga","51°03'27''","22°31'27''","0609035"
"Bychawka Druga-Kolonia","51°03'02''","22°32'56''","0609035"
"Bychawka Pierwsza","51°04'24''","22°31'19''","0609035"
"Bychawka Trzecia","51°04'18''","22°31'45''","0609035"
"Bychawka Trzecia-Kolonia","51°04'13''","22°32'54''","0609035"
"Bychlew","51°38'01''","19°21'40''","1008072"
"Bychorz","52°06'16''","15°50'38''","3029022"
"Bychórz","49°56'38''","20°18'45''","1201022"
"Bychowo","51°28'50''","16°51'06''","0220065"
"Bychowo","54°44'28''","17°58'40''","2215052"
"Bychówko","54°45'03''","17°58'35''","2215052"
"Bycina","50°23'32''","18°31'60''","2405052"
"Bycz","51°43'42''","15°47'18''","0804025"
"Bycz","52°29'01''","18°35'50''","0411055"
"Bycze Jajo","50°06'08''","22°21'42''","1810022"
"Byczeń","50°31'20''","16°54'17''","0224032"
"Byczki","51°52'27''","20°02'56''","1015032"
"Byczki","51°49'57''","20°33'35''","1013025"
"Byczów","50°30'22''","20°23'44''","2608032"
"Byczów","50°27'43''","20°19'25''","2602092"
"Byczów","50°25'52''","20°30'02''","2608045"
"Byczów","50°15'36''","20°34'31''","2603012"
"Byczyna","51°06'52''","18°12'54''","1604014"
"Byczyna","52°39'47''","18°37'08''","0411032"
"Byczyna","51°52'37''","18°58'03''","1011035"
"Byczyna","50°09'49''","19°18'28''","2468011"
"Byczyna","50°08'24''","19°19'15''","1203034"
"Byczyna-Kolonia","52°40'23''","18°37'22''","0411032"
"Byczynica","50°14'56''","18°11'21''","1603032"
"Bydgoskie Przedmieście","53°00'59''","18°34'02''","0463011"
"Bydgoszcz","53°58'26''","17°15'44''","2201052"
"Bydgoszcz","53°07'31''","18°00'05''","0461011"
"Bydgoszcz-Wschód","53°07'58''","18°04'32''","0461011"
"Bydlin","50°22'50''","19°38'51''","1212042"
"Bydlino","54°32'22''","16°58'27''","2212082"
"Bydlówka","49°56'16''","20°14'50''","1219022"
"Bydłoniówka","49°34'14''","19°58'51''","1211125"
"Bydłoniówka","49°36'13''","19°59'09''","1211124"
"Bydłowa","50°28'15''","21°07'20''","2612032"
"Byk","51°57'39''","23°03'17''","0601042"
"Byki","53°26'15''","17°58'17''","0416042"
"Byki","52°17'15''","19°55'19''","1005052"
"Byki","51°49'59''","20°33'11''","1013025"
"Byki","50°08'43''","22°42'56''","1814075"
"Bykowce","49°32'41''","22°16'37''","1817052"
"Bykowice","50°31'41''","17°19'43''","1607082"
"Bykowiec","50°44'15''","21°46'14''","2609022"
"Bykowiec","50°13'28''","20°13'48''","1214012"
"Bykowina","50°16'19''","18°53'42''","2472011"
"Bykowizna","52°10'29''","21°28'54''","1412052"
"Bykownia","52°34'36''","15°31'18''","0803054"
"Bykowo","54°13'10''","21°06'47''","2808045"
"Bykowska Polana","49°45'24''","19°15'19''","2417072"
"Bykowszczyzna","51°36'16''","22°28'38''","0608032"
"Byków","51°11'31''","17°14'08''","0223022"
"Byków","51°52'10''","18°48'04''","1011035"
"Bykówka","49°51'55''","22°33'37''","1804102"
"Bykówka","49°37'00''","20°58'07''","1210011"
"Bartoszówka","49°40'59''","19°39'04''","1215065"
"Bylew","52°20'19''","18°24'41''","3010125"
"Bylica","54°29'55''","16°32'41''","3213052"
"Bylice","52°17'24''","18°45'43''","3009022"
"Bylice","52°15'29''","18°47'07''","3009052"
"Bylice","53°05'11''","15°00'46''","3212042"
"Bylice","52°42'00''","20°45'12''","1424052"
"Bylice-Kolonia","52°15'45''","18°46'29''","3009052"
"Bylicówka","49°51'11''","19°51'27''","1209075"
"Bylicówka","49°45'52''","19°50'18''","1209082"
"Bylicówka","49°47'19''","19°51'02''","1209042"
"Byliczki","52°15'28''","18°48'27''","3009052"
"Bylin","52°19'52''","17°07'59''","3021062"
"Bylina","51°33'42''","22°11'00''","0614022"
"Bylino","52°37'12''","20°05'07''","1419142"
"Bieliny","51°27'34''","18°09'32''","3018035"
"Byliny","51°34'58''","19°55'52''","1016102"
"Bylowo-Leśnictwo","54°20'22''","18°10'30''","2205025"
"Byłyczek","53°44'21''","18°11'38''","0416052"
"Byniowa","49°33'37''","20°23'25''","1210092"
"Byniowa Zagorzyńska","49°34'02''","20°24'08''","1210092"
"Bynowo","53°46'07''","19°46'46''","2815075"
"Bynowo-Kolonia","53°46'21''","19°46'24''","2815075"
"Byrdowo","49°47'50''","19°12'51''","2402082"
"Byrty","49°32'54''","18°53'56''","2403092"
"Bysewo","54°22'08''","18°28'44''","2261011"
"Bysina","49°49'41''","19°53'39''","1209035"
"Bysiów","51°09'31''","19°59'36''","1012115"
"Bysław","53°30'23''","17°59'46''","0416042"
"Bysławek","53°29'28''","17°58'08''","0416042"
"Bysów","50°40'30''","19°35'27''","2404092"
"Bystra","50°24'27''","16°26'31''","0208144"
"Bystra","54°18'21''","18°45'35''","2204042"
"Bystra","53°27'40''","14°42'52''","3204025"
"Bystra Podhalańska","49°38'55''","19°46'48''","1215042"
"Bystra","49°39'21''","21°05'36''","1205042"
"Bystra","49°34'60''","20°26'31''","1210092"
"Bystra","49°37'16''","19°11'15''","2417102"
"Bystra","49°38'19''","19°26'34''","2417052"
"Bystra Południowa","49°45'05''","19°03'20''","2402102"
"Bystre","51°10'53''","17°22'06''","0214062"
"Bystre","52°35'59''","23°07'03''","2003042"
"Bystre","50°22'44''","22°23'36''","1812042"
"Bystre","49°18'22''","22°16'41''","1821012"
"Bystre","49°19'00''","22°43'38''","1801032"
"Bystre","49°17'14''","19°58'57''","1217011"
"Bystre-Kurzyny","53°11'43''","20°46'13''","1422062"
"Bystre-Chrzany","53°12'10''","20°46'09''","1422062"
"Bystre Dolne","49°16'59''","19°58'47''","1217011"
"Bystry","49°34'31''","18°50'26''","2403092"
"Bystre Górne","49°25'11''","19°54'07''","1211032"
"Bystry Górne","49°34'53''","18°50'30''","2403092"
"Kolonia Bystre","52°36'08''","23°07'46''","2003042"
"Bystre","51°11'44''","17°22'47''","0214062"
"Bystrek","51°48'48''","18°14'13''","3007032"
"Bystrojowice","50°39'09''","21°35'24''","2609072"
"Bystroniowa","49°47'20''","19°50'34''","1209042"
"Bystrowice","49°55'53''","22°34'20''","1804102"
"Bystry","54°01'23''","21°48'30''","2806042"
"Bystry Potok","49°28'59''","20°38'34''","1210152"
"Bystrz","53°36'27''","21°21'31''","2817072"
"Bystrzanowice","50°42'29''","19°32'10''","2404032"
"Bystrzanowice-Dwór","50°41'24''","19°31'03''","2404032"
"Bystrzanów","51°57'15''","20°43'56''","1418065"
"Bystrzański Dział","49°38'49''","19°49'14''","1215011"
"Bystrze","54°02'25''","18°51'26''","2209062"
"Bystrzejowice Drugie","51°09'26''","22°45'47''","0617035"
"Bystrzejowice Pierwsze","51°08'38''","22°42'41''","0617035"
"Bystrzejowice Trzecie","51°09'18''","22°45'23''","0617035"
"Bystrzek","52°05'13''","17°05'34''","3026045"
"Bystrzoniówka","49°35'07''","19°54'58''","1211125"
"Bystrzyca","51°01'50''","15°43'30''","0212055"
"Bystrzyca","52°04'56''","17°59'39''","3010022"
"Bystrzyca","50°57'41''","17°23'34''","0215042"
"Bystrzyca","52°38'19''","17°58'49''","0409035"
"Bystrzyca","52°33'58''","17°50'23''","3003095"
"Bystrzyca","51°18'34''","22°42'14''","0609142"
"Bystrzyca","51°46'27''","22°19'04''","0611102"
"Bystrzyca","50°58'44''","22°24'03''","0607102"
"Bystrzyca","49°59'31''","21°43'57''","1815012"
"Bystrzyca","49°53'13''","20°10'34''","1209015"
"Bystrzyca","49°38'25''","21°06'46''","1205042"
"Bystrzyca-Kolonia","50°16'53''","16°37'55''","0208064"
"Bystrzyca Dolna","50°48'34''","16°28'30''","0219072"
"Bystrzyca Górna","50°46'53''","16°27'14''","0219072"
"Bystrzyca Kłodzka","50°17'51''","16°39'01''","0208064"
"Bystrzyca Nowa","51°03'31''","22°27'11''","0609122"
"Bystrzyca Stara","51°04'24''","22°27'55''","0609122"
"Kolonia Bystrzyca","51°19'37''","22°40'40''","0609112"
"Kolonia Bystrzyca","51°47'35''","22°18'13''","0611102"
"Kolonia Bystrzycka","51°48'18''","22°20'43''","0611102"
"Bystrzyk","53°27'60''","14°35'29''","3262011"
"Bystrzyna","53°49'12''","15°47'36''","3216062"
"Bystrzynka","53°48'35''","15°47'40''","3216062"
"Byszew","52°10'29''","19°16'32''","1002062"
"Byszew-Kaczyn","52°11'20''","19°15'29''","1002062"
"Byszew","52°06'15''","18°58'15''","1004042"
"Byszewice","53°05'02''","16°57'57''","3019032"
"Byszewice","51°44'28''","20°17'33''","1013042"
"Byszewo","52°31'28''","18°23'40''","0411055"
"Byszewo","54°03'40''","15°29'32''","3208062"
"Byszewo","53°40'32''","15°40'41''","3218025"
"Byszewo","53°17'45''","17°49'01''","0403045"
"Byszewo","53°18'02''","17°50'38''","0403045"
"Byszewo","52°49'34''","20°59'17''","1411032"
"Byszewo-Wygoda","52°49'10''","20°56'04''","1411032"
"Kolonia Byszewo","54°02'57''","15°29'27''","3208062"
"Byszewy","51°49'25''","19°37'40''","1006082"
"Byszki","53°05'15''","16°45'51''","3019075"
"Byszki","53°23'44''","16°46'54''","3031024"
"Byszki","53°22'47''","16°47'47''","3031062"
"Byszkowo","53°29'41''","16°17'39''","3203015"
"Byszów","50°43'45''","16°44'27''","0202052"
"Byszów","50°38'35''","21°30'50''","2609032"
"Byszówka","50°38'35''","21°27'45''","2609032"
"Kolonia Byszówka","50°38'09''","21°27'38''","2609032"
"Byszwałd","53°31'55''","19°44'28''","2807052"
"Byszyce","49°55'24''","20°00'44''","1219055"
"Byszyno","53°57'17''","16°03'28''","3201022"
"Byszyno","53°56'56''","16°02'34''","3201022"
"Byszyno-Jezioro","53°56'03''","16°03'41''","3201022"
"Bytek Podkański","51°27'04''","20°50'13''","1425092"
"Bytkowice","53°16'32''","17°53'14''","0403045"
"Bytkowo","52°30'49''","16°46'24''","3021132"
"Bytków","50°18'22''","18°04'55''","1603062"
"Bytków","50°18'22''","19°00'12''","2474011"
"Bytnica","52°09'02''","15°10'08''","0802032"
"Bytnica-Tartak","52°08'18''","15°09'07''","0802032"
"Bytom","50°20'52''","18°55'03''","2462011"
"Bytom Odrzański","51°43'50''","15°49'35''","0804024"
"Bytomiec","52°05'39''","14°48'48''","0802072"
"Bytnik","51°38'24''","16°09'16''","0203022"
"Bytomsko","49°49'09''","20°27'05''","1201092"
"Bytonia","53°55'15''","18°16'51''","2213132"
"Bytoń","52°33'26''","18°35'42''","0411022"
"Bytowo","53°20'45''","15°32'38''","3214035"
"Bytowo","53°19'55''","15°32'04''","3202065"
"Osiedle Bytowskie","53°42'00''","17°32'54''","2202011"
"Bytów","54°10'08''","17°29'22''","2201024"
"Bytówko","54°00'48''","17°39'00''","2202025"
"Bytyń","52°29'13''","16°30'17''","3024032"
"Bytyń","53°15'45''","16°13'58''","3217045"
"Bytyń","51°19'44''","23°37'48''","0619072"
"Byzie","52°47'11''","18°55'17''","0401082"
"Byziec","51°52'01''","21°58'12''","0611112"
"Bzianka","50°02'16''","21°53'24''","1816122"
"Bzianka","49°38'18''","21°55'06''","1807085"
"Bzianka Górna","49°37'41''","21°55'10''","1807085"
"Bzichów","50°22'01''","19°48'17''","1212075"
"Bzie Dolne","49°55'41''","18°39'03''","2467011"
"Bzie Górne","49°56'54''","18°39'43''","2467011"
"Bzie Zameckie","49°56'09''","18°38'39''","2467011"
"Bzików","50°16'08''","20°42'18''","2603042"
"Bzin","51°06'21''","20°49'58''","2610011"
"Bór","51°05'38''","20°49'20''","2610011"
"Kolonia Bzinek","51°06'03''","20°49'21''","2610011"
"Bziniaki","49°26'38''","20°41'16''","1210134"
"Bziniok","49°35'47''","19°03'42''","2417092"
"Bziny","52°28'16''","20°12'18''","1419155"
"Bzionków","50°45'13''","18°26'10''","1608015"
"Bzite","51°03'18''","23°11'29''","0606052"
"Bzowiec","54°01'02''","20°18'36''","2814035"
"Bzowiec","50°49'44''","22°54'32''","0606092"
"Bzowo","52°51'19''","16°28'50''","3002052"
"Bzowo","54°21'45''","16°50'30''","2212062"
"Bzowo","53°33'25''","18°39'46''","0414112"
"Bzów","52°06'53''","22°28'32''","1426132"
"Bzów","50°28'19''","19°30'48''","2416021"
"Bzówek","50°49'21''","22°54'25''","0606092"
"Bzówiec","52°40'09''","17°51'10''","0409035"
"Bzówka","53°15'51''","21°47'20''","2007092"
"Bzówki","52°19'34''","19°09'06''","1002082"
"Bzówko","53°31'57''","18°42'49''","0414112"
"Bzurówka","52°13'38''","20°13'47''","1428011"
"Bzury","53°41'35''","22°13'01''","2805042"
"Bzury","53°34'21''","22°20'49''","2004055"
"Cabałówka","49°38'23''","20°31'22''","1207082"
"Cacanin","50°39'47''","22°39'34''","0602054"
"Cacki","54°15'41''","21°21'56''","2808022"
"Caców","50°41'58''","20°11'38''","2602042"
"Caców","50°41'42''","20°13'11''","2602025"
"Caców-Dziadówki","50°41'57''","20°10'58''","2602042"
"Caców-Kolonia","50°42'02''","20°12'35''","2602042"
"Cadów","51°00'50''","19°33'19''","1012062"
"Cadówek","51°00'24''","19°33'04''","1012062"
"Cadyń","49°41'05''","19°42'36''","1215065"
"Całowanie","52°00'43''","21°18'51''","1417045"
"Całownia","52°53'27''","19°33'21''","1427062"
"Canki","53°56'48''","21°34'34''","2806085"
"Capia Góra","49°46'13''","21°06'50''","1216072"
"Capia Górka","49°57'60''","19°21'46''","1213082"
"Capki","49°39'39''","20°05'47''","1207092"
"Capłapy","50°15'08''","22°45'16''","1814022"
"Capówka","49°45'35''","20°07'16''","1209092"
"Capówka","49°18'08''","20°02'24''","1217052"
"Captorie","50°35'17''","20°54'40''","2601022"
"Capuci","49°39'27''","19°11'17''","2417102"
"Car","53°01'24''","22°51'24''","2002065"
"Podlesie","50°40'43''","22°33'09''","0605032"
"Carchla","49°42'56''","19°36'15''","1215065"
"Carski Dar","53°02'11''","19°02'58''","0405032"
"Caryńskie","49°09'60''","22°37'10''","1801052"
"Cebakówka","49°46'33''","22°17'51''","1816052"
"Ceber","51°42'48''","15°59'60''","0203042"
"Ceber","50°41'07''","21°13'21''","2612012"
"Ceber-Kolonia","50°41'21''","21°13'12''","2612012"
"Cebryszewo","52°51'24''","19°14'56''","0408062"
"Cebulanka","49°32'02''","22°29'37''","1801085"
"Cebulino","54°02'32''","16°34'25''","3209035"
"Cebulki","53°19'05''","20°19'58''","2811032"
"Cebulowa","49°42'09''","19°52'26''","1215052"
"Cebulówka","51°23'42''","21°24'16''","1425022"
"Cebulówka","51°21'42''","22°17'24''","0609042"
"Cebulówka","49°50'26''","22°04'00''","1816025"
"Cebulówka","49°32'11''","20°26'52''","1210092"
"Cecele","52°27'55''","22°46'00''","2010092"
"Kolonia Cecele","52°27'50''","22°47'17''","2010092"
"Cecelin","51°41'30''","20°00'16''","1016112"
"Cecenowo","54°38'32''","17°32'36''","2212042"
"Cechówka","52°14'54''","21°18'41''","1412151"
"Cechówka","49°34'35''","19°50'15''","1211132"
"Cechówki","49°40'56''","21°32'49''","1805112"
"Cechyny","54°10'34''","17°33'27''","2201082"
"Cecylia","52°08'57''","18°23'25''","3027092"
"Cecylówka Głowaczowska","51°39'23''","21°14'08''","1407022"
"Cecylówka-Brzózka","51°33'02''","21°21'27''","1407022"
"Cedro-Mazur","50°51'41''","20°42'24''","2661011"
"Cedron","49°51'03''","19°41'35''","1218035"
"Cedrowice","51°59'25''","19°16'31''","1020062"
"Cedrowice-Parcela","51°58'54''","19°17'31''","1020062"
"Cedrowskie Pola","54°13'59''","18°52'03''","2204022"
"Cedry","53°21'52''","22°11'26''","2006055"
"Cedry Małe","54°16'29''","18°52'25''","2204022"
"Cedry Małe-Kolonia","54°17'16''","18°50'43''","2204022"
"Cedry Wielkie","54°14'56''","18°50'43''","2204022"
"Cedyły","50°10'13''","22°41'24''","1814075"
"Cedynia","52°52'42''","14°12'12''","3206024"
"Cedzyna","50°52'05''","20°43'12''","2604062"
"Cedzyna-Góra","50°52'21''","20°42'25''","2604062"
"Podmieście","51°34'38''","16°42'59''","0204045"
"Cegielnia","52°00'07''","15°02'31''","0802022"
"Cegielnia","52°00'51''","16°26'59''","3029012"
"Cegielnia","51°49'53''","17°32'14''","3012035"
"Cegielnia","51°48'49''","18°36'54''","1014095"
"Cegielnia","51°45'13''","17°08'36''","3004042"
"Cegielnia","51°37'04''","16°59'28''","3022042"
"Cegielnia","51°26'00''","17°37'25''","3017082"
"Cegielnia","51°17'43''","17°11'29''","0220052"
"Cegielnia","51°35'39''","18°06'17''","3017072"
"Cegielnia","51°43'36''","14°54'30''","0811092"
"Cegielnia","51°05'16''","17°57'09''","1604045"
"Cegielnia","52°19'55''","17°30'26''","3030055"
"Cegielnia","52°29'04''","18°07'33''","3010142"
"Cegielnia","52°22'07''","18°12'05''","3010045"
"Cegielnia","52°16'04''","18°04'13''","3010015"
"Cegielnia","52°17'02''","18°56'03''","3009065"
"Cegielnia","52°40'21''","17°44'48''","0419052"
"Kamieńsko","54°45'25''","17°44'23''","2215042"
"Cegielnia","50°28'10''","17°58'45''","1605024"
"Cegielnia","50°15'56''","18°10'08''","1603032"
"Cegielnia","54°26'15''","18°08'31''","2215092"
"Cegielnia","54°19'03''","19°09'35''","2210052"
"Cegielnia","54°05'17''","17°12'46''","2201102"
"Cegielnia","54°06'44''","17°58'20''","2206011"
"Cegielnia","53°05'14''","17°45'05''","0410055"
"Cegielnia","53°52'20''","18°57'28''","2207052"
"Cegielnia","53°56'26''","17°40'43''","2202025"
"Cegielnia","53°53'14''","18°08'06''","2213052"
"Cegielnia","53°49'36''","17°56'21''","2202045"
"Biała Cegielnia","53°05'51''","19°03'36''","0405011"
"Glinki","53°20'43''","16°25'40''","3217052"
"Cegielnia","52°59'30''","18°43'00''","0415042"
"Cegielnia","53°28'38''","18°32'04''","0414042"
"Cegielnia","52°41'23''","19°28'31''","1419032"
"Cegielnia","53°33'10''","19°45'10''","2807052"
"Cegielnia","54°04'05''","21°25'23''","2808032"
"Osówka","52°39'02''","20°37'00''","1420082"
"Cegielnia","52°37'09''","21°59'06''","1433072"
"Cegielnia","52°24'03''","21°09'33''","1434095"
"Cegielnia","52°23'19''","20°55'03''","1408011"
"Cegielnia","52°23'37''","21°00'11''","1408032"
"Cegielnia","53°03'05''","20°57'13''","1422072"
"Cegielnia","53°13'53''","22°33'20''","2008072"
"Cegielnia","53°13'11''","23°19'39''","2002094"
"Cegielnia","53°11'57''","23°01'28''","2002032"
"Cegielnia","51°49'20''","22°36'08''","0615062"
"Cegielnia","51°40'57''","20°41'50''","1406075"
"Cegielnia","51°35'46''","22°37'28''","0608112"
"Cegielnia","51°32'38''","22°24'24''","0608032"
"Cegielnia","51°36'05''","21°20'05''","1407022"
"Cegielnia","50°53'41''","22°42'50''","0609152"
"Cegielnia","50°56'27''","23°56'57''","0604032"
"Cegielnia-Markowicze","50°27'13''","22°45'04''","0602082"
"Cegielnia","50°40'51''","22°24'54''","0605054"
"Cegielnia","50°57'41''","21°43'02''","2606072"
"Cegielnia","50°52'05''","21°54'45''","0607025"
"Cegielnia","50°16'26''","22°06'20''","1816115"
"Cegielnia","51°25'34''","18°34'44''","1014114"
"Cegielnia","51°25'04''","19°14'05''","1001052"
"Cegielnia","51°11'28''","20°10'29''","2605052"
"Cegielnia","51°09'44''","20°07'54''","2605012"
"Cegielnia","51°01'45''","21°33'37''","2607022"
"Cegielnia","50°58'47''","19°15'43''","2404082"
"Cegielnia","50°44'23''","19°45'54''","2613052"
"Cegielnia","50°53'50''","21°04'02''","2604132"
"Cegielnia","50°46'47''","21°07'20''","2604072"
"Cegielnia","50°51'36''","20°35'53''","2661011"
"Cegielnia","50°35'30''","21°34'01''","2609044"
"Cegielnia","50°18'09''","21°13'46''","1811102"
"Cegielnia","50°18'27''","19°28'48''","1212032"
"Cegielnia","50°19'26''","19°33'51''","1212042"
"Cegielnia","50°52'02''","19°27'59''","2404052"
"Cegielnia","49°59'48''","20°37'50''","1202025"
"Koło Cegielni","50°00'34''","20°38'49''","1202025"
"Cegielnia","50°50'21''","19°17'24''","2404102"
"Cegielnia","50°47'30''","18°57'36''","2404014"
"Cegielnia","49°56'35''","19°48'47''","1206115"
"Cegielnia","50°43'00''","18°33'36''","2407072"
"Cegielnia","50°42'12''","18°43'06''","2407052"
"Cegielnia","50°30'58''","18°45'19''","2413082"
"Cegielnia","50°30'19''","19°26'57''","2416021"
"Cegielnia","49°34'55''","21°03'27''","1205082"
"Cegielnia","50°26'11''","19°23'39''","2416054"
"Cegielnia","50°20'56''","18°28'13''","2405052"
"Cegielnia","49°32'30''","20°30'31''","1210092"
"Cegielnia-Dwór","50°58'56''","19°16'60''","2404082"
"Cegielnia-Grabarze","51°03'17''","18°45'11''","2406032"
"Cegielnia-Kosewo","52°28'10''","20°39'53''","1414052"
"Cegielnia-Łęczeszyce","51°47'22''","20°46'26''","1406012"
"Cegielnia-Murcki","50°12'10''","19°01'22''","2469011"
"Cegielnia-Obory","52°04'23''","21°08'11''","1418024"
"Cegielnia-Rudki","52°25'38''","18°26'20''","3010132"
"Cegielnia-Złotoria","53°09'53''","22°55'31''","2002015"
"Cegielnia Charbrowska","54°41'26''","17°34'16''","2208052"
"Cegielnia Czerna","51°13'24''","15°19'20''","0201045"
"Cegielnia Dzierzbocka","51°55'51''","18°29'26''","3027042"
"Cegielnia Giżyn","51°40'07''","16°38'25''","3022015"
"Kolonia Koplany","53°03'40''","23°05'48''","2002052"
"Cegielnia Lewicka","53°07'42''","20°18'35''","1413032"
"Cegielnia Mała","52°40'22''","17°44'06''","0419052"
"Koło Cegielni","53°03'12''","23°02'55''","2002112"
"Cegielnia Moszczenicka","51°28'50''","19°42'02''","1010062"
"Cegielnia Psucka","52°32'15''","20°47'06''","1414045"
"Cegielnia Ratowska","52°58'18''","20°05'29''","1413042"
"Sowiny","51°44'19''","16°49'11''","3022015"
"Osada Cegielnia","52°18'34''","21°29'11''","1434082"
"Cegielniana","50°01'40''","19°55'55''","1261049"
"Cegielniana Droga","51°37'48''","22°33'19''","0608112"
"Osiedle Cegielniana","50°13'20''","19°15'06''","2468011"
"Cegielnik","53°04'14''","18°28'42''","0415092"
"Cegielniów","51°48'33''","21°04'42''","1406115"
"Cegielnisko","52°17'10''","20°37'38''","1432042"
"Cegielsko","52°07'05''","16°12'10''","3005045"
"Ceglaki","50°13'16''","22°36'40''","1814075"
"Ceglarki","54°14'19''","20°50'02''","2801032"
"Ceglarnia","54°13'12''","17°39'12''","2201072"
"Ceglarze","50°54'06''","18°45'19''","2406062"
"Cegliniec","52°39'20''","16°03'42''","3014045"
"Cegła","50°39'10''","20°21'21''","2602025"
"Cegłów","52°09'51''","20°30'45''","1405032"
"Cegłów","52°08'49''","21°44'22''","1412042"
"Kolonia Cegłów","52°09'08''","21°44'40''","1412042"
"Cegłówka","51°02'02''","21°57'31''","0612022"
"Cegłówko","51°52'58''","16°05'58''","0812015"
"Cegły","51°40'42''","17°37'19''","3017042"
"Gogołowice","51°34'34''","17°15'19''","0213035"
"Cegry","53°57'02''","17°10'21''","2203052"
"Cekanowo","52°40'26''","19°46'37''","1419012"
"Cekanowo","52°31'17''","19°49'58''","1419122"
"Cekanów","51°34'31''","19°59'46''","1016092"
"Cekanów","51°32'23''","20°01'23''","1016011"
"Cekanów","51°19'12''","19°41'25''","1010082"
"Cekanów","51°34'42''","19°58'48''","1016092"
"Cekcyn","53°34'24''","18°00'37''","0416012"
"Cekcynek","53°34'18''","17°59'15''","0416012"
"Ceklarze","49°43'49''","20°07'49''","1207092"
"Ceków","51°53'43''","18°17'58''","3007032"
"Ceków-Kolonia","51°53'20''","18°17'45''","3007032"
"Cekury","50°30'32''","20°38'48''","2601015"
"Cel","50°44'27''","18°37'08''","2407032"
"Cel","50°42'18''","18°33'53''","2407072"
"U Celaka","49°46'35''","19°46'19''","1215032"
"Celarówka","49°48'26''","19°46'35''","1209075"
"Celbowo","54°41'15''","18°22'35''","2211072"
"Celbówko","54°42'14''","18°24'20''","2211072"
"Celej","51°55'19''","21°59'44''","0611082"
"Celeje","50°01'41''","19°37'25''","1206012"
"Celejów","51°52'21''","21°23'25''","1403132"
"Celejów","51°51'38''","21°21'31''","1403132"
"Celejów","51°20'11''","22°04'49''","0614102"
"Kolonia Celejów","51°20'25''","22°03'29''","0614102"
"Celestynowo","52°15'14''","17°07'38''","3021095"
"Celestynów","51°52'13''","17°16'50''","3004015"
"Celestynów","52°03'33''","21°23'17''","1417032"
"Celestynów","51°22'04''","21°41'34''","1436055"
"Celestynów","51°58'06''","19°24'27''","1020062"
"Celestynów","50°33'58''","23°37'23''","0618072"
"Celestynów","51°26'13''","20°05'11''","1007072"
"Celestyny","51°55'17''","18°20'43''","3027052"
"Celigów","51°48'54''","20°05'33''","1015022"
"Celin","50°57'11''","22°51'04''","0606112"
"Celina","51°00'21''","17°29'39''","0215035"
"Osiedle Celina","51°05'22''","17°00'40''","0264011"
"Celiniec","52°33'29''","17°06'17''","3021115"
"Celinka","51°22'09''","17°55'29''","3018075"
"Celinki","52°03'09''","16°25'08''","3005055"
"Celinki","50°40'20''","22°38'19''","0605032"
"Celinowo","52°26'15''","18°19'38''","3010092"
"Celinowo","52°33'41''","21°13'49''","1435042"
"Celinów","52°09'24''","21°27'24''","1412052"
"Celinów","51°44'28''","20°33'10''","1013062"
"Celinów","51°42'23''","21°20'03''","1407042"
"Celinów","51°45'32''","21°35'25''","1403062"
"Celinów","52°07'28''","18°58'13''","1004042"
"Celinów-Kolonia","52°09'45''","21°26'29''","1412052"
"Celinówek","51°43'19''","18°44'37''","1014095"
"Celiny","52°48'26''","19°03'34''","0408022"
"Celiny","51°59'41''","22°27'55''","0611092"
"Celiny","50°44'31''","19°37'23''","2404092"
"Celiny","50°55'25''","20°57'07''","2604025"
"Celiny","50°41'26''","20°55'05''","2604162"
"Celiny","50°39'10''","20°41'49''","2604045"
"Celiny","50°42'45''","19°49'36''","2613052"
"Celiny","50°30'03''","19°43'28''","2416075"
"Celiny","50°16'18''","19°58'46''","1206032"
"Celiny","50°08'48''","19°48'08''","1206162"
"Celiny","49°56'44''","19°53'57''","1206092"
"Celiny","50°46'35''","19°20'30''","2404122"
"Celiny","50°29'45''","19°31'56''","2416021"
"Celiny","50°26'58''","19°03'44''","2413062"
"Zagórze","50°15'15''","20°00'26''","1206032"
"Celiny-Zagrody","51°13'26''","21°39'03''","1409022"
"Celiny Dolne","51°13'59''","21°39'58''","1409022"
"Celiny Górne","51°13'29''","21°40'11''","1409022"
"Celiny Pojałowskie","50°19'43''","20°05'50''","1208055"
